Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
232,3,13:01,1,21.798458,21.795947,,,,,9,8.5,,,0.270997,0.153432,,
232,3,13:02,2,21.909192,,21.900848,,,,9,,6.5,,0.134331,,0.419398,
232,3,13:03,3,22.011328,22.021435,22.005745,,,,9,8,6.5,,0.118248,0.47019,0.435185,
232,3,13:04,4,22.12288,22.118453,22.107255,,,,9,8,6.5,,0.140144,0.045166,0.23381,
232,3,13:05,5,22.258777,22.247457,22.250253,,,,9,8,6.5,,0.27644,0.810401,0.681623,
232,3,13:06,6,22.368637,22.344619,22.367146,,,,9,8,6.5,,0.117051,0.163365,0.389857,
232,3,13:07,7,22.469578,22.476072,,,,,9,8,,,0.127939,0.125419,,
232,3,13:08,8,22.574542,22.56688,22.557908,,,,9,8,6,,0.150238,0.420285,0.376125,
232,3,13:09,9,22.707449,22.700511,22.705357,,,,9,8,6.5,,0.286687,0.181516,0.284675,
232,3,13:10,10,22.825065,,22.832448,,,,9,,6.5,,0.135212,,0.308897,
232,3,13:11,11,22.920032,22.927359,,,,,9,7.5,,,0.133937,0.232492,,
232,3,13:12,12,23.024411,23.017585,23.022317,,,,9,7.5,6,,0.204029,0.602974,0.332626,
232,3,13:13,13,23.169208,23.165106,23.172255,,,,9,7.5,6.5,,0.255464,0.38827,0.012509,
232,3,13:14,14,23.272684,,,,,,9,,,,0.142714,,,
232,3,13:15,15,23.383505,23.382772,,,,,9,7,,,0.126633,0.055141,,
232,3,13:16,16,23.481327,23.498819,,,,,9,7.5,,,0.160833,0.257083,,
232,3,14:01,1,23.626811,23.624454,,,,,9,7.5,,,0.374758,0.033853,,
232,3,14:02,2,23.744831,23.712127,23.731773,,,,9,7.5,7.5,,0.135261,0.151693,0.507153,
232,3,14:03,3,23.835255,23.841643,23.838963,,,,9,7.5,7.5,,0.217955,0.457104,0.35979,
232,3,14:04,4,23.943255,23.949502,23.939389,,,,9,8,7.5,,0.181997,0.055812,0.220694,
232,3,14:05,5,24.08601,24.078962,24.075047,,,,9,8,7.5,,0.294868,0.565892,0.720048,
232,3,14:06,6,24.198728,24.17595,24.190748,,,,9,8,7.5,,0.176886,0.077445,0.366945,
232,3,14:07,7,24.296892,24.300144,,,,,9,8,,,0.08957,0.178847,,
232,3,14:08,8,24.396176,24.397964,24.387042,,,,9,8,7,,0.101059,0.300867,0.386784,
232,3,14:09,9,24.537226,24.529405,24.536575,,,,9,8,7.5,,0.283827,0.016802,0.379237,
232,3,14:10,10,24.649011,,24.655961,,,,9,,7.5,,0.119305,,0.209213,
232,3,14:11,11,24.744493,24.749202,,,,,9,8,,,0.127516,0.115498,,
232,3,14:12,12,24.845012,24.860976,24.852573,,,,9,8.5,7,,0.191685,0.22744,0.249803,
232,3,14:13,13,24.993239,25.001465,24.997786,,,,9,8.5,7.5,,0.260313,0.199063,0.408605,
232,3,14:14,14,25.103648,25.098521,25.093388,,,,9,8.5,7.5,,0.109787,0.339649,0.194678,
232,3,14:15,15,25.208129,25.213477,25.204274,,,,9,8.5,7.5,,0.116164,0.220198,0.241393,
232,3,14:16,16,25.313984,25.313862,25.306653,,,,9,9,8,,0.235557,0.308917,0.595088,
232,3,15:01,1,25.449332,25.450141,25.453203,,,,9,9,8,,0.164641,0.038364,0.17599,
232,3,15:02,2,25.567958,25.549518,25.571924,,,,9,9,8,,0.143293,0.132801,0.008118,
232,3,15:03,3,25.670598,25.670245,,,,,9,9,,,0.104956,0.492297,,
